country,type,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Brazil,Robustas,69.78,77.86,77.75,56.93,41.53,19.35,19.99,31.61,34.85,46.47,62.03,78.94,91.58,73.42,74.22,105.29,104.4,85.29,81.16,73.54
Burundi,Robustas,40.45,40.19,35.36,,,,,,,,,,,,,,,,,
Cameroon,Robustas,51.02,38.9,36.46,31.3,30.44,21.13,16.05,22.26,,,,55.13,52.54,37.74,,,,66.43,,
Central African Republic,Robustas,45.07,38.36,37.86,29.71,18.28,13.22,11.94,18.06,20.17,,,45.34,45.69,43.59,51.4,72.72,68.73,,,40.03
Congo (Kinshasa),Robustas,32.89,45.36,44.28,88.18,45.04,7.95,2.96,5.61,,,,,,,,,,,,
Congo (Brazzaville),Robustas,14.19,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,Robustas,57.7,39.29,40.14,38.81,23.85,,8.96,17.71,14.77,11.23,27.99,32.84,51.86,37.52,22.49,28.4,46.29,56.94,56.97,49.87
Ecuador,Robustas,97.51,61.19,66.63,47.48,32.7,11.26,12,21.86,29.75,50.96,53.73,64.9,79.26,77.99,80.55,95.26,95.12,76.4,46.47,
Gabon,Robustas,39.91,37.9,50.26,59.01,51.11,47.93,44.58,,,,,,,91.96,82.58,88.92,88.9,91.84,91.89,77.07
Ghana,Robustas,,,,,,,,,,,,,,,,,,,,
Guinea,Robustas,,,,,,,,,,,,,,,,,,,,
India,Robustas,56.67,76.3,75.62,57.61,35.87,23.44,22.08,28.6,30.8,52.42,61.35,79.38,96.12,73.13,77.96,109.6,104.65,94.88,104.63,87.95
Indonesia,Robustas,58.35,58.43,59.37,46.55,22.4,13.57,14.65,16.61,24.17,34.21,52.47,55.8,,,,,,,,
Liberia,Robustas,,,,,,,,,,,,,,,,,,,,
Madagascar,Robustas,61.06,49.48,48.25,38.05,109,51.66,55.7,55.92,19.74,30.24,41.71,69.57,,,,,,,,
Nigeria,Robustas,,,,,,,,,,,,,,,,,,,,
Papua New Guinea,Robustas,63.75,75.43,59.15,37.7,21.89,12,13.31,17.31,22.16,24.3,32.89,23.91,34.9,27.57,29.45,37.68,37.24,24.04,22.63,25.1
Philippines,Robustas,68.91,72.91,76.66,60.14,34.2,23.63,21.45,32.65,31.89,41.69,55.32,74.48,88.33,69.38,65.87,108.38,96.38,90.17,,
Sierra Leone,Robustas,,,,,,,,,,,,,,,,18.83,31.87,,,
Sri Lanka,Robustas,,,,,,,,,,,,,,,,,,,,
Tanzania,Robustas,32.2,92.48,28.19,23.52,15.29,5.21,4.3,6.72,7.55,14.27,21.45,21.38,35.32,,,,,,,
Thailand,Robustas,43.35,21.85,27.33,31.31,12.35,12.75,6.44,13.25,12.83,18.32,46.55,64.67,83.75,90.48,84.5,107.64,103.09,103.77,92.04,96.53
Togo,Robustas,62.58,44.89,49.93,43.22,22.92,15.32,18.27,22.77,21.91,27.92,44.72,56.72,76.94,44.71,42.36,74.14,68.5,66.56,59.88,59.55
Trinidad and Tobago,Robustas,63.25,60.63,60.29,79.23,,,,,,,,,,,,,,,,
Uganda,Robustas,37.44,41.47,43.83,36.24,19.92,10.57,12.78,20.81,26.26,40.82,47.02,55.88,71.09,49.03,55.61,73.54,71.8,67.71,70.18,60.22
Vietnam,Robustas,57.42,56.14,65.87,50.7,26.55,15.12,18.14,27.94,26,35.9,54.5,71.14,89.15,65.52,67.18,98.57,87.97,90.23,,
