"Year","Country","Coffee","Tea","Spices","Chocolate","Cocoa"
2001,"Italy",18435132,121778,1317804,15676120,562339
2002,"Italy",20190920,76401,1551045,15158889,919647
2003,"Italy",24615155,67415,1706309,16488382,1758410
2004,"Italy",29135918,87318,2363219,17202934,1878541
2005,"Italy",34865046,565177,2364120,23765482,2709057
2006,"Italy",42799500,178335,2901672,30305123,1786069
2007,"Italy",45327853,242607,1962152,29357354,2087500
2008,"Italy",47532721,381277,1947252,37788339,2763916
2009,"Italy",42463295,1462856,1680699,24892973,2848834
2010,"Italy",50361521,2286773,2052008,26490437,5129396
2011,"Italy",63589852,3124586,2095112,35099615,5691913
2012,"Italy",73522250,3702479,1825665,33156860,6522963
2013,"Italy",75745410,2804397,2238520,43468818,5369116
2014,"Italy",86033236,3643358,2209744,43556912,4668157
2015,"Italy",102092114,5157565,1953795,41507859,4874209
2016,"Italy",105686294,4165433,1410049,44157883,3393282
1996,"Jamaica",2262618,20325,1472531,5066,548709
1997,"Jamaica",3270612,42595,1066097,0,682205
1998,"Jamaica",1462050,28642,1973521,9907,614616
1999,"Jamaica",2335419,37226,1926511,0,429071
2000,"Jamaica",2793331,35809,2338570,4521,101066
2001,"Jamaica",3928735,103789,1771219,0,64495
2002,"Jamaica",3246285,125704,1569937,0,27940
2003,"Jamaica",2663048,311502,2264482,0,71042
2004,"Jamaica",3165720,265210,862226,3180,137590
2005,"Jamaica",1788866,221221,1543872,0,100545
2006,"Jamaica",2993589,259074,1251990,12957,117274
2007,"Jamaica",2628149,154194,1067159,0,44082
2008,"Jamaica",2669344,165969,1109400,0,41476
2009,"Jamaica",4923299,246852,1044257,3717,10359
2010,"Jamaica",4391906,307928,1720279,2810,0
2011,"Jamaica",2867906,369568,1697170,5730,43757
2012,"Jamaica",4483343,375391,1788474,5227,63752
2013,"Jamaica",4597086,487972,2364209,0,86466
2014,"Jamaica",3552888,697221,3147346,2237,32144
2015,"Jamaica",6394316,906229,3828196,34481,0
2016,"Jamaica",4903806,700310,4198049,5592,14142
1996,"Japan",502913,2905165,1259714,344388,0
1997,"Japan",255270,3529181,1127828,252748,0
1998,"Japan",823843,3292477,1138054,337738,0
1999,"Japan",187062,3857689,741512,405861,0
2000,"Japan",2183147,4191895,979798,417575,0
2001,"Japan",1268627,3665969,994848,460511,0
2002,"Japan",1858011,4814197,899569,766211,0
2003,"Japan",318942,5696875,791249,886866,0
2004,"Japan",1112763,6114845,1083820,1329000,0
2005,"Japan",1249046,11190635,1704795,1471539,0
2006,"Japan",1131911,19603018,957361,1980636,0
2007,"Japan",1616202,20255005,1191894,1931596,0
2008,"Japan",7119366,19925116,1181298,2657726,154023
2009,"Japan",7564988,22814124,1034883,2120540,264192
2010,"Japan",8413151,25831278,1633712,2424101,0
2011,"Japan",11150353,33430314,2094961,2545827,0
2012,"Japan",5611370,30872872,1590084,2994569,0
2013,"Japan",5618724,34884821,1615039,3462931,0
2014,"Japan",1912806,32552724,2927634,4680974,2763
2015,"Japan",946614,38955537,2195435,5759300,609460
2016,"Japan",2834420,46814008,2422681,6297973,31073
1997,"Jordan",3035,17972,86472,1779,0
2003,"Jordan",12478,208735,179755,0,2889
2007,"Jordan",46626,9373,299860,0,0
2008,"Jordan",17967,34075,400117,9297,5315
2009,"Jordan",144612,41363,380280,6350,0
2010,"Jordan",289478,4717,397741,0,2217
2011,"Jordan",428047,39609,399262,9915,8315
2012,"Jordan",383502,28341,582475,8547,0
2013,"Jordan",681382,27492,552748,20484,10355
2014,"Jordan",575051,17269,754398,106579,9588
2015,"Jordan",951099,31149,874688,294306,15596
2016,"Jordan",981330,288437,981434,298568,19825
2004,"Kenya",14486640,8806214,41150,0,0
2008,"Kenya",37397394,13843504,93850,0,55982
1996,"Korea, South",297866,898352,477297,0,0
1997,"Korea, South",338727,2056334,602484,0,0
1998,"Korea, South",132947,1130714,300494,377297,0
1999,"Korea, South",127519,603224,612008,180318,0
2000,"Korea, South",2767618,678084,1463585,15220,11690
2001,"Korea, South",272418,704018,3238470,155564,0
2002,"Korea, South",469635,734474,1426351,516695,0
2003,"Korea, South",916796,762768,1382348,637201,0
2004,"Korea, South",1231656,877121,1288323,710420,0
2005,"Korea, South",1889055,1380584,1839143,583966,0
2006,"Korea, South",2346291,1350556,1929834,644808,0
2007,"Korea, South",3001228,1594031,2576554,673907,0
2008,"Korea, South",4433672,1381678,2764313,760140,0
2009,"Korea, South",4032148,1228990,2900923,766330,0
2010,"Korea, South",5449252,1650023,3787482,573642,0
2011,"Korea, South",6645708,1818775,3379639,401834,10518
2012,"Korea, South",7727402,1793286,3331359,242345,0
2013,"Korea, South",7741822,1967623,4311400,74296,0
2014,"Korea, South",8485387,1706726,3133890,268008,0
2015,"Korea, South",8735591,1672714,3131245,235016,0
2016,"Korea, South",9141081,1557006,3064068,240111,0
2005,"Latvia",3854,15699,2864,245913,0
2000,"Lebanon",480641,3876,75873,169190,0
2004,"Lebanon",589111,0,158754,157032,0
2010,"Lebanon",1035392,4406,321085,760376,3872
2011,"Lebanon",1291136,9128,423620,602359,0
2012,"Lebanon",1587971,0,596882,581681,0
2013,"Lebanon",2163607,0,836818,694907,0
2014,"Lebanon",2276782,2264,1020360,673529,0
2015,"Lebanon",1714268,0,828832,624566,0
2016,"Lebanon",2365129,27821,1201427,641544,0
2006,"Macedonia",271213,2236,111285,145907,95516
2007,"Macedonia",240864,3599,39931,134847,164525
2009,"Macedonia",191966,91317,2501,133619,83048
1996,"Malaysia",143615,19198,4477668,175885,42976619
1997,"Malaysia",78556,64398,11731842,269670,71523226
1998,"Malaysia",84511,13094,4896124,192643,67775476
1999,"Malaysia",30636,13488,15790973,127304,59372621
2000,"Malaysia",53487,12152,24423871,348810,45834534
2001,"Malaysia",251726,19922,9090856,216442,49780995
2002,"Malaysia",643470,51847,7254714,343189,39906133
2003,"Malaysia",441472,37898,4204998,356672,93533991
2004,"Malaysia",1214356,88372,1279671,605427,115122929
2005,"Malaysia",3931776,196265,1536106,752529,116815681
2006,"Malaysia",15369749,73210,3228147,765491,113077556
2007,"Malaysia",33123603,207485,3309583,1063114,125510773
2008,"Malaysia",29897239,462725,2615491,1113677,262092954
2009,"Malaysia",31548507,380171,868039,2574135,246301949
2010,"Malaysia",30265915,512746,1871725,3126345,313062854
2011,"Malaysia",44466223,820956,2892270,4540742,283024072
2012,"Malaysia",48931275,1332937,1863867,5684462,147980667
2013,"Malaysia",38252908,804347,2329740,2715232,136241135
2014,"Malaysia",36030574,758831,2153075,2115225,187957467
2015,"Malaysia",24266175,669764,6854537,1470525,131422158
2016,"Malaysia",10312370,697893,1425526,918509,131107955
1996,"Mexico",581683097,138833,18767241,16843658,14882408
1997,"Mexico",674197987,178106,20802985,20313306,21589143
1998,"Mexico",520292844,644157,27392824,19202084,17137061
1999,"Mexico",456401547,4024831,31443166,27459893,12117764
2000,"Mexico",475762919,7404037,30677899,30605984,4191078
2001,"Mexico",192544591,7559740,29226958,33287290,5515411
2002,"Mexico",188875465,7647748,36630483,46798129,10674619
2003,"Mexico",156409810,15001470,31467886,64202831,12862901
2004,"Mexico",174335259,20252630,29525586,81002633,9522632
2005,"Mexico",207836360,17361530,32439522,100673181,4158843
2006,"Mexico",255458713,14468744,33273504,126076786,6566569
2007,"Mexico",288286381,18610425,32820701,143042793,5720228
2008,"Mexico",324342522,14941452,33359192,214917637,1999705
2009,"Mexico",336817695,9069627,41129693,350251164,7980619
2010,"Mexico",348657553,3135569,45622675,434440584,23641239
2011,"Mexico",608799410,3660123,49740891,515769114,21707076
2012,"Mexico",600240123,7061776,52797993,503257878,15975064
2013,"Mexico",482745042,7435938,59853577,488478841,14821685
2014,"Mexico",404987839,4814804,61378947,455390543,25821611
2015,"Mexico",352001018,4310630,63785739,493125425,11706354
2016,"Mexico",273740538,4670772,65384635,517952061,9734920
2005,"Montenegro",232693,41355,5860,383937,84062
1996,"Netherlands",31600925,1337060,1579399,5458902,68989768
1997,"Netherlands",38830809,1611706,1522539,5455114,79359005
1998,"Netherlands",37553759,1954147,1831504,5662191,75887559
1999,"Netherlands",35070876,1029977,1461475,7036719,76074782
2000,"Netherlands",36220896,1129160,2616018,9382767,76397761
2001,"Netherlands",36818480,898416,1938269,10151342,98272867
2002,"Netherlands",37766986,1100265,1751181,11452597,119692219
2003,"Netherlands",44380616,1766247,1384655,11104610,171125739
2004,"Netherlands",53207583,2264447,1237244,14965133,157446797
2005,"Netherlands",18655837,3261444,673871,14094833,131010351
2006,"Netherlands",12563413,3351321,896820,10754716,122759764
2007,"Netherlands",9689024,1769518,498058,12963649,103338454
2008,"Netherlands",4760868,1577943,997060,13133394,128769711
2009,"Netherlands",2932582,1901180,939218,9181464,161363817
2010,"Netherlands",3276972,1958566,1223504,8073322,251297772
2011,"Netherlands",4901327,1508119,1257694,16160400,290088803
2012,"Netherlands",18255620,2309985,1309493,10305620,263129114
2013,"Netherlands",22523354,3427332,807041,11480124,198341149
2014,"Netherlands",19087012,5549218,990263,13276720,163654031
2015,"Netherlands",17727859,3093183,3773876,11206315,141065965
2016,"Netherlands",21812896,116598,2078422,11715612,205774821
1996,"Netherlands Antilles",37998,0,0,0,0
1999,"Netherlands Antilles",49284,0,0,0,0
1999,"New Zealand",103186,0,0,0,45780
2001,"New Zealand",5639,0,121024,332418,0
2002,"New Zealand",9905,0,157561,206109,50834
2007,"New Zealand",5196,0,48404,35312,0
2008,"New Zealand",18286,18933,14068,29198,0
2010,"New Zealand",5650,3225,58910,9315,0
2011,"New Zealand",4953,0,71980,90715,70593
2012,"New Zealand",2515,4642,58530,80178,0
2013,"New Zealand",29842,0,41214,6007,0
2014,"New Zealand",238986,39064,6033,0,0
2015,"New Zealand",169915,39064,2407,17960,0
2016,"New Zealand",33035,4136,0,9922,0
1996,"Nicaragua",5988045,0,1156314,0,240762
1997,"Nicaragua",17350277,0,1250744,0,0
1998,"Nicaragua",28990612,0,91464,0,0
1999,"Nicaragua",26118179,0,99642,0,0
2000,"Nicaragua",61472298,0,263001,0,0
2001,"Nicaragua",38173375,0,289906,0,2806
2002,"Nicaragua",33023811,0,765272,0,0
2003,"Nicaragua",42240125,0,342060,0,4691
2004,"Nicaragua",55829805,0,293963,83410,3975
2005,"Nicaragua",53377153,0,148682,0,395441
2006,"Nicaragua",92743421,0,587725,3189,19336
2007,"Nicaragua",85737654,0,507598,0,0
2008,"Nicaragua",144320098,0,765176,3377,2570
2009,"Nicaragua",115862591,0,682026,0,6052
2010,"Nicaragua",168543407,0,1264826,0,0
2011,"Nicaragua",226337868,0,1758427,0,189377
2012,"Nicaragua",232198824,0,1696483,9453,217697
2013,"Nicaragua",168950620,0,1194886,22007,27872
2014,"Nicaragua",233999080,0,1096446,15369,106799
2015,"Nicaragua",237995880,0,1129124,20272,248638
2016,"Nicaragua",261346034,0,641685,18412,193387
2005,"Nigeria",34378,0,1546709,4625,53449334
2007,"Nigeria",374424,0,1022193,0,7311073
2009,"Nigeria",35317,8976,594037,0,45373383
2010,"Nigeria",95514,45182,1907906,0,39853637
2009,"Norway",45159,0,0,341735,0
2010,"Norway",39031,0,0,560932,0
2012,"Norway",71015,0,0,366169,0
2013,"Norway",3263,0,0,284503,0
2014,"Norway",40036,0,0,696496,0
2014,"Oman",367676,0,113879,25088,0
1996,"Panama",13401537,15419,6639,0,689025
1997,"Panama",15190893,0,0,0,413044
1998,"Panama",21024133,0,0,42696,631522
1999,"Panama",19378090,0,0,0,410377
2000,"Panama",15116928,0,14167,0,777995
2001,"Panama",10462198,0,13485,0,187583
2002,"Panama",8353621,0,281803,2742,27720
2003,"Panama",12715619,0,659250,2961,101005
2004,"Panama",10825842,0,100030,0,0
2005,"Panama",11802285,0,305836,0,158335
2006,"Panama",11951837,13000,194694,0,155430
2007,"Panama",14510236,0,221617,0,278336
2008,"Panama",15756685,0,136925,51858,1886485
2009,"Panama",7933157,0,217090,0,523047
2010,"Panama",7987571,0,135402,0,0
2011,"Panama",8459678,7637,9062,0,0
2012,"Panama",8962171,0,128696,0,0
2013,"Panama",7077602,0,32608,0,83580
2014,"Panama",7388063,0,136985,0,426289
2015,"Panama",7458537,0,58238,0,155035
2016,"Panama",7247267,6343,29013,0,0
1998,"Papua New Guinea",15248968,941078,0,0,23616562
2000,"Papua New Guinea",12406204,699091,558146,0,9432291
2010,"Papua New Guinea",42474410,1810121,426875,0,36786472
2011,"Papua New Guinea",75282767,1232609,231903,0,23758821
2013,"Papua New Guinea",52042510,700657,64869,0,16510536
2014,"Papua New Guinea",58717538,251101,519030,2171,27213167
2015,"Papua New Guinea",44125243,623646,933180,0,33975693
2016,"Papua New Guinea",55466739,439136,3305066,0,23002904
1996,"Peru",65158856,7372,29324,556272,73530
1997,"Peru",175313026,149159,93238,1477428,12232504
1998,"Peru",126239903,10720,80706,858822,10279952
1999,"Peru",92615466,0,130114,1316008,10562415
2000,"Peru",89908613,5653,1587239,347729,8855633
2001,"Peru",51505154,7981,2882551,205538,4899259
2002,"Peru",61344196,27640,7901310,526999,3136050
2003,"Peru",65577613,84448,8343706,15858,3101819
2004,"Peru",80131972,14760,17874135,42560,4048949
2005,"Peru",83326017,14969,37388745,70327,3811497
2006,"Peru",125057344,53537,42832442,174272,8384145
2007,"Peru",142086650,82613,44469989,200898,5522838
2008,"Peru",174499419,24055,65472870,187701,15265983
2009,"Peru",167047648,51524,48243974,309764,20086162
2010,"Peru",219447007,52387,49219510,649659,10541753
2011,"Peru",380260014,46141,66902101,1789678,21598120
2012,"Peru",248047656,11385,63447205,1497228,13461040
2013,"Peru",178324032,78354,52467744,2424108,30905714
2014,"Peru",214246261,7781,62549564,3983447,35991407
2015,"Peru",181225569,30778,66556869,4465363,31682365
2016,"Peru",234546097,0,54066691,6325048,34499983
1996,"Philippines",39930,2339,137831,30228,5819605
1997,"Philippines",50699,3174,118058,52784,5627336
1999,"Philippines",7410,0,222525,125443,2641690
2000,"Philippines",13134,2734,314864,61824,1295316
2001,"Philippines",64939,3855,157457,28226,2312422
2002,"Philippines",4480,0,234622,96032,2378636
2003,"Philippines",21489,0,267065,64329,4417053
2004,"Philippines",73516,9809,564144,135733,2872745
2005,"Philippines",30618,13217,288359,112320,2421695
2006,"Philippines",10149,18393,235811,619203,2303164
2007,"Philippines",18583,34383,204768,86703,1620897
2008,"Philippines",12095,77449,385479,133500,4538476
2009,"Philippines",97781,54987,248546,119575,1471019
2010,"Philippines",95503,76223,319956,256283,1383249
2011,"Philippines",214584,181206,282678,543137,1832799
2012,"Philippines",302947,123954,279072,1799762,1475833
2013,"Philippines",526719,306105,326064,9861908,1480087
2014,"Philippines",539476,114198,229665,9928977,3426025
2015,"Philippines",636822,181366,490259,8421303,2161418
2016,"Philippines",722449,272975,396018,5980111,2355540
1996,"Poland",221546,194345,3331,2642010,10137
1997,"Poland",267495,200405,53487,2711320,0
1998,"Poland",242689,256708,64883,3029019,3779
2002,"Poland",711506,183081,384325,7339935,0
2004,"Poland",1105698,380209,236528,8733615,9130
2005,"Poland",975958,508276,167140,10722053,29530
2006,"Poland",913297,637568,216768,16852981,7887
2007,"Poland",943359,575527,333094,19380782,12338
2008,"Poland",989715,523570,1011232,16663516,19414
2009,"Poland",1493291,492707,1505579,15131133,14206
2010,"Poland",1163426,565074,2756775,17711196,2132
2011,"Poland",1399246,3755416,2992727,17592498,7698
2012,"Poland",1863482,3771778,2697314,23355063,10981
2013,"Poland",1724024,4871772,3356375,28804021,2765
2014,"Poland",2742271,3543423,3568311,29899069,2545
2015,"Poland",3270397,4360047,3814328,31717360,8094
2016,"Poland",2919397,4468128,4047004,39272315,9420
2002,"Portugal",487301,17534,23916,105645,3106
2005,"Portugal",685616,36413,22267,67566,7510
2006,"Portugal",709272,31263,13417,120439,11241
2007,"Portugal",669130,28350,10946,134362,9201
2008,"Portugal",765581,39288,20900,140663,15863
2009,"Portugal",920573,27052,29347,156111,10345
2011,"Portugal",1593919,19083,46511,207123,9615
2012,"Portugal",1329336,31604,146649,211657,9930
2013,"Portugal",1272154,25935,365223,309685,8346
2014,"Portugal",1589135,30579,713469,277160,24284
2015,"Portugal",1588465,23452,744246,266560,9779
2016,"Portugal",2521310,85214,173439,288962,6759
1997,"Russia",4763,23376,4788,454701,8220
1998,"Russia",14403,33275,2662,556051,0
2000,"Russia",4343,10821,9594,836580,0
2002,"Russia",9400,53939,7472,1201462,0
2003,"Russia",2658,91176,11142,1732875,0
2005,"Russia",57756,44386,0,2933836,29794
2006,"Russia",8377,51073,34687,3397577,0
2007,"Russia",18114,33910,21972,3456609,6809
2008,"Russia",200655,55636,38066,3274533,5766
2009,"Russia",44890,121340,68756,3634725,3503
2010,"Russia",54976,171172,50748,3611814,8177
2011,"Russia",152954,137186,70195,3094809,15401
2012,"Russia",101975,187834,50632,3614644,17238
2013,"Russia",97243,244000,118997,3889816,32938
2014,"Russia",107401,292953,145112,3918193,29325
2015,"Russia",195040,596091,103848,3816503,17388
2016,"Russia",150520,534122,154495,4306564,10362
2000,"Saudi Arabia",52135,0,0,53800,0
2001,"Saudi Arabia",3590,0,43647,0,0
2003,"Saudi Arabia",34224,2390,0,0,0
2005,"Saudi Arabia",15433,29215,0,0,0
2007,"Saudi Arabia",71271,0,0,6447,0
2008,"Saudi Arabia",37057,0,0,2642,0
2009,"Saudi Arabia",41091,0,3144,0,0
2010,"Saudi Arabia",79671,0,0,0,0
2011,"Saudi Arabia",61509,0,0,0,0
2012,"Saudi Arabia",152605,23750,0,0,0
2013,"Saudi Arabia",60647,81030,0,0,0
2014,"Saudi Arabia",81029,44474,26556,20868,0
2015,"Saudi Arabia",26358,145019,6244,26793,0
2016,"Saudi Arabia",28183,0,2630,0,0
2009,"Serbia",164069,9143,26852,277206,118416
2012,"Serbia",716829,21665,31906,388280,180128
2014,"Serbia",671361,24613,2798,636285,6039
1996,"Singapore",1889641,148758,2277739,0,20383705
1997,"Singapore",6857989,239609,7044704,0,19797148
1998,"Singapore",1760611,201875,4580340,2830,36099897
1999,"Singapore",622363,756839,5822870,0,16165485
2000,"Singapore",634968,912079,4104581,124402,20728932
2001,"Singapore",890849,1416454,2462077,111917,11403259
2002,"Singapore",543953,2282767,2729373,128817,17405735
2003,"Singapore",809661,2907857,4012570,148729,40540153
2004,"Singapore",672500,1888215,2397752,495526,18964091
2005,"Singapore",2564180,2054253,1577582,292806,21024590
2006,"Singapore",1052802,3219888,1845253,631273,39033089
2007,"Singapore",1921413,1202339,1618214,1005015,61010613
2008,"Singapore",2056007,1605190,1362224,2053315,71049947
2009,"Singapore",794413,1172197,285197,1473575,60753164
2010,"Singapore",438465,510445,258780,2091069,56298473
2011,"Singapore",2698563,1040198,309912,2005753,52100107
2012,"Singapore",1386213,1469423,1210587,1848063,26829112
2013,"Singapore",977283,909334,1356985,2059685,21442535
2014,"Singapore",935940,1919197,2495520,1851299,22735901
2015,"Singapore",228099,1279378,1717558,2028920,24074933
2016,"Singapore",3888124,1747140,209061,2013557,20288270
1997,"South Africa",3117046,653918,1102843,87143,3446
1998,"South Africa",2349794,899665,1052357,248176,0
1999,"South Africa",223127,579647,713385,307064,399149
2001,"South Africa",187395,778148,1537714,175295,0
2002,"South Africa",108220,574388,2799895,360475,17903
2003,"South Africa",153478,988622,2262957,585464,0
2004,"South Africa",114673,1185276,1665687,912043,167462
2005,"South Africa",254343,827632,2717324,904867,0
2006,"South Africa",884535,954178,1523749,156778,0
2007,"South Africa",236069,710149,1541573,123266,0
2008,"South Africa",501677,838538,2459913,124523,6557
2009,"South Africa",242665,370592,2169892,237694,0
2010,"South Africa",133276,544445,2507917,542880,5313
2011,"South Africa",497924,842458,2170656,587031,0
2012,"South Africa",313719,937671,2208799,440384,0
2013,"South Africa",973589,1692017,2737037,154251,0
2015,"South Africa",1073839,1053106,2413234,239184,38758
1996,"Spain",381984,82405,18941988,1483259,2196939
1997,"Spain",4567658,70699,16748034,1107844,2844410
1998,"Spain",2897890,33072,20445794,1133033,2632022
1999,"Spain",361015,41425,16278376,2057441,2726602
2000,"Spain",71242,54815,18358026,3019550,2093557
2001,"Spain",141293,16698,16663642,2997106,2316516
2002,"Spain",170368,389690,17935576,2859350,7726157
2003,"Spain",318315,94868,19454477,6658720,9874888
2004,"Spain",439588,142551,18678662,5743776,10547059
2005,"Spain",883107,170723,18860174,5664720,7852057
2006,"Spain",1026897,198767,20079727,7178925,7101771
2007,"Spain",1307160,454550,24208968,6264286,15851446
2008,"Spain",4029366,195290,32363443,5020078,14443973
2009,"Spain",8260264,2729,43057397,3740630,15289065
2010,"Spain",9359852,206622,43013123,3948080,37142135
2011,"Spain",6514843,275756,44765384,7152659,50689342
2012,"Spain",3897354,194899,53273094,17609275,49668412
2013,"Spain",4684566,283067,42885041,19615514,36565217
2014,"Spain",2928646,406215,43178320,11716113,27517402
2015,"Spain",12512405,288953,49966655,13457348,20812018
2016,"Spain",7095881,480070,54289765,10912600,29236526
2001,"Sri Lanka",6573,13771091,6179068,0,0
2002,"Sri Lanka",42929,15851270,8052429,2432,0
2006,"Sri Lanka",12197,22304434,10218140,0,44991
2009,"Sri Lanka",34314,18285670,8586598,0,33340
2011,"Sri Lanka",52716,25638776,16439935,361760,50413
2012,"Sri Lanka",3272,25603250,21494355,49350,90229
2015,"Sri Lanka",3135,35490382,30863320,0,9110
2015,"St Lucia",5043,0,20291,0,30561
2004,"Sweden",28912682,5659,57584,4583523,0
2010,"Sweden",31689554,72284,15444,11480014,0
2011,"Sweden",34958413,30882,0,22802347,0
2012,"Sweden",20035035,0,0,10379155,4740
2014,"Sweden",7975289,0,0,18725341,0
2015,"Sweden",176151,0,0,8340616,0
2016,"Sweden",543975,0,0,10478283,0
1996,"Switzerland",9620642,35128,104901,22659817,1774628
1997,"Switzerland",37148489,159513,126704,21210030,1542140
1998,"Switzerland",4031297,109767,101132,25997090,1194617
1999,"Switzerland",4113917,20833,20124,28061222,1944146
2000,"Switzerland",10262085,183459,60151,22304090,1967863
2001,"Switzerland",18161795,63876,15728,21487719,1609234
2002,"Switzerland",22310660,26005,21426,25097716,1998853
2003,"Switzerland",29236085,18302,114041,27168187,4536002
2004,"Switzerland",36744559,4100,249907,36197526,3671485
2005,"Switzerland",38844181,23967,94433,41664147,4566348
2006,"Switzerland",38367005,39696,72502,50099336,4590361
2007,"Switzerland",35916259,92091,247994,60677070,6858311
2008,"Switzerland",39257715,5650,203159,60999605,9724580
2009,"Switzerland",56355504,7882,80317,48634118,10425143
2010,"Switzerland",64454359,74620,208695,51595400,855066
2011,"Switzerland",87877582,44066,0,61156025,311652
2012,"Switzerland",70049542,35779,18580,51496841,306126
2013,"Switzerland",51101150,20212,0,57721222,605492
2014,"Switzerland",62846028,8489,16493,61989792,455915
2015,"Switzerland",121636601,61850,0,60459391,570173
2016,"Switzerland",118378723,384591,17952,68812089,531153
1996,"Taiwan",980708,2482317,535762,0,0
1997,"Taiwan",5236,3042623,383119,4814,0
1998,"Taiwan",535526,2587385,290958,1645,0
1999,"Taiwan",67418,3660122,364482,4879,0
2000,"Taiwan",69095,3980527,410980,98268,0
2001,"Taiwan",235395,3470554,543719,40015,0
2002,"Taiwan",123990,3771495,836970,5885,0
2003,"Taiwan",50904,4434818,946390,128821,0
2004,"Taiwan",49153,4962643,688691,195587,0
2005,"Taiwan",201286,4336765,628452,29567,0
2006,"Taiwan",289926,4851003,560688,166971,0
2007,"Taiwan",124358,5101325,1133662,132505,3024
2008,"Taiwan",186889,6270224,571010,118173,0
2009,"Taiwan",659217,5368877,594317,8438,0
2010,"Taiwan",579782,6386949,774308,25212,0
2011,"Taiwan",563097,7845178,1087921,22241,0
2012,"Taiwan",698167,7380016,952137,44626,0
2013,"Taiwan",1032810,8770658,1196978,27330,0
2014,"Taiwan",746924,9043323,975519,58007,0
2015,"Taiwan",758384,9837415,1642343,58119,14178
2016,"Taiwan",1054320,11444820,1565097,66203,0
2013,"Tanzania",22692601,392658,320394,0,1688459
2014,"Tanzania",19594302,339760,595032,0,1541712
2015,"Tanzania",29251884,35659,413599,0,746209
2016,"Tanzania",20054586,210060,871879,0,832529
1996,"Thailand",76731358,266688,2755789,0,1757174
1997,"Thailand",48616345,274777,3011898,17112,2278994
1998,"Thailand",41277248,254123,2816716,0,5637200
1999,"Thailand",14627022,285708,3390868,0,4175960
2000,"Thailand",23902399,328417,3960840,0,3618346
2001,"Thailand",15574911,221874,3177963,0,2973894
2002,"Thailand",1579317,321930,3318383,10890,5634984
2003,"Thailand",4567283,460848,4115587,54007,6522869
2004,"Thailand",8825527,717237,4839815,48967,6549289
2005,"Thailand",8339155,802720,4342393,142241,5975590
2006,"Thailand",23091257,943118,4569209,408068,259989
2007,"Thailand",17471988,1107210,5229283,58529,1860169
2008,"Thailand",4107788,1901654,7255250,46539,95796
2009,"Thailand",1866678,1202007,6791216,12581,44607
2010,"Thailand",2192193,2176028,7236088,41269,93477
2011,"Thailand",2159680,2710203,7376036,81679,42704
2012,"Thailand",1500733,2500214,4233787,151227,13926
2013,"Thailand",1806224,5001897,4206803,30151,0
2014,"Thailand",1971882,3349733,6699692,1118682,47186
2015,"Thailand",2451627,3782207,6634744,906512,0
2016,"Thailand",2994771,3500614,5917244,436222,5663737
1996,"Trinidad and Tobago",125786,2942,793703,0,1528901
1997,"Trinidad and Tobago",138616,5673,596285,0,1706865
1999,"Trinidad and Tobago",53559,0,458302,0,239538
2000,"Trinidad and Tobago",56108,0,669063,0,154915
2002,"Trinidad and Tobago",34534,0,650653,7201,165283
2003,"Trinidad and Tobago",25875,0,377640,0,220248
2004,"Trinidad and Tobago",16199,2352,336660,25440,172214
2005,"Trinidad and Tobago",14630,0,429500,0,210625
2006,"Trinidad and Tobago",10501,2392,359690,0,399154
2007,"Trinidad and Tobago",19402,0,492206,34760,654994
2008,"Trinidad and Tobago",15904,0,448340,0,191686
2009,"Trinidad and Tobago",15883,4771,271234,0,303100
2010,"Trinidad and Tobago",6552,0,522823,0,1582060
2011,"Trinidad and Tobago",7368,0,470549,145340,155629
2012,"Trinidad and Tobago",6849,4907,398427,180896,131941
2013,"Trinidad and Tobago",2622,0,571414,132359,143135
2014,"Trinidad and Tobago",7181,0,442132,183857,102455
2015,"Trinidad and Tobago",2667,0,657741,265973,58750
1996,"Turkey",27304,33983,18705005,59302,0
1998,"Turkey",55477,1401844,18636812,337721,2403
1999,"Turkey",49928,953560,18845721,302939,326745
2001,"Turkey",98086,1319531,18212896,1191667,2195
2002,"Turkey",153853,843954,17666464,864342,18402
2004,"Turkey",119240,1041704,17249882,4094531,631961
2009,"Turkey",351636,613637,19212907,2647040,25218
2010,"Turkey",371233,842675,20342614,2755261,5397
2011,"Turkey",364476,1024222,25003038,2015170,5156
2012,"Turkey",470633,1124039,24608568,3151845,10629
2013,"Turkey",517677,931974,38229177,3898299,8187
2014,"Turkey",725717,1157434,36425553,5459588,5571
2015,"Turkey",820525,840935,30239537,6764994,4887
2010,"Uganda",28106772,3330,3319539,0,5681883
2012,"Uganda",27624267,80470,2003421,0,435189
2003,"Ukraine",4799,32969,10831,332056,0
2004,"Ukraine",2378,18051,8500,416158,0
2005,"Ukraine",2266,21359,0,570820,0
2007,"Ukraine",76264,4805,0,1146144,0
2008,"Ukraine",15562,6653,3960,1284892,0
2015,"Ukraine",23511,27473,346595,2495522,0
2016,"Ukraine",29808,168385,359255,2258837,0
2000,"United Arab Emirates",2216,0,181710,8619,0
2009,"United Arab Emirates",117041,12378,428841,0,0
2015,"United Arab Emirates",28309,2118691,1681887,347055,0
1996,"United Kingdom",729017,4248528,987985,30103365,4523972
1997,"United Kingdom",7027023,5964288,1223274,39698078,7539424
1998,"United Kingdom",3251316,6291343,1639257,45164728,8405321
1999,"United Kingdom",4972223,7327648,432988,50621374,8966449
